rank_f1_macro,mean_test_f1_macro,std_test_f1_macro,mean_test_balanced_accuracy,mean_test_accuracy,mean_test_roc_auc,params
1,0.9782397610339688,0.0017292591150350907,0.9781820656883484,0.978385628828917,0.9975555111084369,"{""classifier__class_weight"": ""balanced"", ""classifier__l2_regularization"": 0.1, ""classifier__learning_rate"": 0.06, ""classifier__max_iter"": 180, ""classifier__max_leaf_nodes"": 15}"
2,0.9781908392344085,0.0016730488333462914,0.9779757112066767,0.9783443917190235,0.9974814405737555,"{""classifier__class_weight"": null, ""classifier__l2_regularization"": 0.01, ""classifier__learning_rate"": 0.08, ""classifier__max_iter"": 320, ""classifier__max_leaf_nodes"": 15}"
3,0.9779076500777929,0.0023573852564707544,0.9778565335621128,0.9780555958256167,0.9975425424917235,"{""classifier__class_weight"": ""balanced"", ""classifier__l2_regularization"": 0.01, ""classifier__learning_rate"": 0.04, ""classifier__max_iter"": 180, ""classifier__max_leaf_nodes"": 31}"
4,0.9778200217419075,0.0023544094787517197,0.9776725312041755,0.9779730875747917,0.9974503940743868,"{""classifier__class_weight"": ""balanced"", ""classifier__l2_regularization"": 0.01, ""classifier__learning_rate"": 0.08, ""classifier__max_iter"": 240, ""classifier__max_leaf_nodes"": 63}"
5,0.9777830793533084,0.0020857156352366364,0.977728558708049,0.9779318419571386,0.9975395559811991,"{""classifier__class_weight"": ""balanced"", ""classifier__l2_regularization"": 0.0, ""classifier__learning_rate"": 0.08, ""classifier__max_iter"": 180, ""classifier__max_leaf_nodes"": 31}"
6,0.9777392840119863,0.002585793889049262,0.9776366241662066,0.9778906218627637,0.9974969244713179,"{""classifier__class_weight"": ""balanced"", ""classifier__l2_regularization"": 0.0, ""classifier__learning_rate"": 0.06, ""classifier__max_iter"": 240, ""classifier__max_leaf_nodes"": 31}"
7,0.9777381854279439,0.0025273546574014366,0.9776164086397421,0.9778906218627638,0.997419629743186,"{""classifier__class_weight"": ""balanced"", ""classifier__l2_regularization"": 0.1, ""classifier__learning_rate"": 0.08, ""classifier__max_iter"": 240, ""classifier__max_leaf_nodes"": 63}"
8,0.9777361350729368,0.0020176259738693063,0.9775692756189637,0.9778906218627638,0.997492838179846,"{""classifier__class_weight"": ""balanced"", ""classifier__l2_regularization"": 0.0, ""classifier__learning_rate"": 0.08, ""classifier__max_iter"": 180, ""classifier__max_leaf_nodes"": 63}"
9,0.9776114782521452,0.002556076360841679,0.9774413791684848,0.9777668850098044,0.997487435093082,"{""classifier__class_weight"": null, ""classifier__l2_regularization"": 0.1, ""classifier__learning_rate"": 0.04, ""classifier__max_iter"": 180, ""classifier__max_leaf_nodes"": 31}"
10,0.9773616277432229,0.002305834193292449,0.9771854607981076,0.9775193772728479,0.9974645557970897,"{""classifier__class_weight"": null, ""classifier__l2_regularization"": 0.01, ""classifier__learning_rate"": 0.04, ""classifier__max_iter"": 180, ""classifier__max_leaf_nodes"": 63}"
